"","Progress","Age","Gender","Ethnicity","Education","Marital","Employment","Purpose","FreqUse","Nationality","ucla_1","ucla_2","ucla_3","ucla_4","ucla_5","ucla_6","ucla_7","ucla_8","ucla_9","ucla_10","ucla_11","ucla_12","ucla_13","ucla_14","ucla_15","ucla_16","ucla_17","ucla_18","ucla_19","ucla_20","OCI_1","OCI_2","OCI_3","OCI_4","OCI_5","OCI_6","OCI_7","OCI_8","OCI_9","OCI_10","OCI_11","OCI_12","OCI_13","OCI_14","OCI_15","OCI_16","OCI_17","OCI_18","OCI_19","OCI_20","OCI_21","OCI_22","OCI_23","OCI_24","OCI_25","OCI_26","OCI_27","OCI_28","OCI_29","OCI_30","OCI_31","OCI_32","OCI_33","OCI_34","OCI_35","OCI_36","OCI_socsup","OCI_dep","OCI_imp","OCI_att","Ucla_score","OCI_score"
"206",100,29,2,1,4,2,1,"2,4,5,6,7,8,9",6,1,1,1,1,4,1,1,3,2,2,2,1,1,3,2,2,2,3,2,2,2,6,1,5,5,4,1,6,6,1,4,4,7,4,4,1,1,2,4,2,6,2,3,6,6,5,1,6,6,6,6,6,6,6,2,2,2,47,23,33,42,38,145
"207",100,39,2,2,4,2,3,"10",5,1,4,2,2,3,1,2,2,1,1,3,2,2,2,3,1,2,3,2,1,1,5,1,2,2,2,2,4,2,1,5,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,6,22,7,40,58
"208",100,29,2,1,4,2,1,"1,2,4,5,7,8,9",5,1,2,1,1,3,3,1,3,2,1,1,2,3,3,3,2,2,2,3,1,2,1,1,1,6,6,5,1,5,1,6,1,6,4,1,6,1,1,5,1,1,6,1,6,6,5,1,6,2,5,2,1,2,3,5,7,7,28,26,50,21,41,125
"209",100,27,2,1,5,2,3,"9",3,1,3,3,2,3,3,3,3,2,1,2,2,2,3,3,3,2,2,3,3,3,4,3,2,3,4,2,3,4,5,5,3,3,5,2,1,2,2,4,4,2,1,1,1,3,1,4,4,5,2,5,4,3,4,4,5,4,45,14,30,25,51,114
"210",100,37,2,1,7,1,5,"1,4,5,7,8,9",3,1,2,1,1,3,3,3,3,1,3,1,1,2,3,1,1,2,1,1,1,2,3,1,1,1,1,1,1,1,1,4,3,4,1,1,1,1,1,1,1,1,1,5,4,3,1,4,2,1,1,1,1,1,1,1,1,1,18,15,18,8,36,59
"211",100,25,2,1,4,2,3,"1,4,5,7,8,9",6,1,1,1,1,4,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,5,1,2,3,4,7,5,7,7,2,2,5,2,4,1,2,3,2,6,7,5,2,7,5,5,6,5,6,5,5,6,6,42,27,43,36,25,148
"212",100,53,1,1,4,3,7,"7",5,1,1,3,3,4,1,1,4,4,1,2,3,2,3,3,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,4,1,7,4,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,20,10,19,9,44,58
"213",100,50,1,1,5,2,7,"1,2,4,5,7,9",4,1,1,3,3,1,1,2,2,2,2,3,2,4,4,3,2,2,2,1,4,3,1,3,3,3,3,4,5,5,5,4,1,3,2,3,3,7,6,6,5,4,3,3,2,2,4,3,6,6,6,5,4,3,2,2,4,3,53,18,31,32,47,134
"214",100,54,2,5,4,3,7,"2,7,9",3,1,1,4,4,3,2,2,2,1,1,2,1,4,3,1,1,1,1,2,1,1,2,1,1,1,1,2,3,2,2,1,2,1,6,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,3,1,1,2,1,1,29,9,13,12,38,63
"215",100,44,2,3,4,1,2,"5,7",1,1,1,1,1,4,1,1,1,2,1,1,1,3,3,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,14,6,10,11,31,41
"216",100,46,1,3,4,2,3,"5,6,7,9",3,1,3,1,1,4,1,2,1,2,3,1,1,3,2,2,4,2,1,1,1,2,6,1,1,1,1,1,3,5,1,6,3,7,4,3,1,3,1,1,1,1,1,3,5,5,1,2,7,7,1,1,5,1,1,7,3,6,36,18,34,19,38,107
"217",100,20,2,3,3,2,6,"1,4,5,6,7,8,9",6,1,3,3,3,2,2,2,3,3,3,2,3,2,4,4,4,3,3,3,2,3,5,2,3,2,6,3,5,5,4,7,7,7,2,2,5,5,4,2,2,6,5,6,5,6,6,5,7,5,7,7,7,7,6,5,5,7,50,30,55,45,57,180
"218",100,51,2,5,3,1,1,"4,5,7,9",2,1,1,1,1,4,3,3,1,1,1,1,1,3,3,1,1,1,1,1,1,1,5,1,1,1,1,1,4,1,1,2,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,26,6,17,11,31,60
"219",100,18,2,3,3,2,6,"4,6,7,9",5,1,2,3,3,3,4,3,3,3,2,2,2,2,4,3,2,3,1,2,2,3,5,2,5,2,4,5,6,6,6,7,7,7,2,6,5,6,3,3,1,5,2,6,2,5,6,1,7,5,5,5,6,5,6,6,6,5,58,27,48,38,52,171
